E_g_(MeV),E_g_err_(keV),I_g,I_g_err,I_g_total,delta_mixing,delta_err_up,delta_err_down,tau_(fs),tau_err_up,tau_err_down,alpha_conv,alpha_conv_err,A,multipolarity,E_level_(keV)
0.888157,0.003,174.8,3.9,369.3,0,0,0,2830,110,110,0.0032,0,162,E2,888.158
0.807501,0.002,184.5036,4.8,369.3,0,0,0,2830,110,110,0.0041,0,162,E2,888.158
0.622494,0.003,3.7,0.1,369.3,0,0,0,2830,110,110,0.0073,0,162,E2,888.158
0.260067,0.008,129,2,155.7,0,0,0,300000,600,600,0.021,0,162,E1,1148.226
0.185292,0.001,26.7,1.1,155.7,0,0,0,300000,600,600,0,0,162,E1,1148.226
1.27581,0.018,30.3,0.8,71.6,0,0,0,29,5,5,0.00063,0,162,E1,1275.767
1.195092,0.007,41.3,3.2,71.6,0,0,0,29,5,5,0.00079,0,162,E1,1275.767
1.277271,0.011,64.3,1.2,110.9,0,0,0,214,0,0,0.00071,0,162,E1,1357.923
1.092256,0.006,46.6,3,110.9,0,0,0,214,0,0,0.00089,0,162,E1,1357.923
1.219978,0.034,26.6,0.8,41.11,0,0,0,2910,0,0,0.00073,0,162,E1,1485.666
0.937144,0.007,12,0.8,41.11,0,0,0,2910,0,0,0.00123,0,162,E1,1485.666
0.424676,0.004,0.48,0.03,41.11,0,0,0,2910,0,0,0,0,162,E1,1485.666
0.302909,0.002,0.38,0.01,41.11,0,0,0,2910,0,0,0,0,162,E1,1485.666
0.275582,0.004,0.81,0.04,41.11,0,0,0,2910,0,0,0.0632,0,162,E1,1485.666
0.188663,0.003,0.25,0.02,41.11,0,0,0,2910,0,0,0.276,0,162,E2,1485.666
0.161209,0.005,0.0784,0.02,41.11,0,0,0,2910,0,0,0,0,162,M1,1485.666
0.095158,0.001,0.45,0.02,41.11,0,0,0,2910,0,0,0,0,162,E2(M1),1485.666
1.252744,0.029,26,2,37.1,0,0,0,193,0,0,0.00058,0,162,E1,1518.42
0.969908,0.006,10.9,0.4,37.1,0,0,0,193,0,0,0.00121,0,162,E1,1518.42
0.457485,0.04,0.04,0.01,37.1,0,0,0,193,0,0,0,0,162,E1,1518.42
0.160489,0.004,0.16,0.01,37.1,0,0,0,193,0,0,0,0,162,E2,1518.42
0.714444,0.005,6.072,0.5,25.39,0,0,0,2860,0,0,0.0055,0,162,E2,1862.672
0.652581,0.003,2.92,0.09,25.39,0,0,0,2860,0,0,0.0058,0,162,E2,1862.672
0.377015,0.005,0.22,0.01,25.39,0,0,0,2860,0,0,0,0,162,E2(M1),1862.672
0.327012,0.001,13.9,0.2,25.39,0,0,0,2860,0,0,0.0115,0,162,E1,1862.672
0.228263,0.001,1.45,0.03,25.39,0,0,0,2860,0,0,0.0275,0,162,E1,1862.672
1.022278,0.011,8.3,0.5,24.389,0,0,0,305,0,0,0.00125,0,162,E1,1910.422
0.947484,0.008,8.9,0.3,24.389,0,0,0,305,0,0,0.00118,0,162,E1,1910.422
0.849435,0.007,7.1,0.2,24.389,0,0,0,305,0,0,0.00178,0,162,E1,1910.422
0.552486,0.021,0.089,0.013,24.389,0,0,0,305,0,0,0,0,162,E2(M1),1910.422
0.714444,0.005,6.072,0.5,25.39,0,0,0,1580,0,0,0.0055,0,162,E2,1862.672
0.652581,0.003,2.92,0.09,25.39,0,0,0,1580,0,0,0.0058,0,162,E2,1862.672
0.377015,0.005,0.22,0.01,25.39,0,0,0,1580,0,0,0,0,162,E2(M1),1862.672
0.327012,0.001,13.9,0.2,25.39,0,0,0,1580,0,0,0.0115,0,162,E1,1862.672
0.228263,0.001,1.45,0.03,25.39,0,0,0,1580,0,0,0.0275,0,162,E1,1862.672
1.022278,0.011,8.3,0.5,24.389,0,0,0,253,0,0,0.00125,0,162,E1,1910.422
0.947484,0.008,8.9,0.3,24.389,0,0,0,253,0,0,0.00118,0,162,E1,1910.422
0.849435,0.007,7.1,0.2,24.389,0,0,0,253,0,0,0.00178,0,162,E1,1910.422
0.552486,0.021,0.089,0.013,24.389,0,0,0,253,0,0,0,0,162,E2(M1),1910.422
